2025-09-09 16:45:15 | DEBUG | lab7 | Logging configured. Console and file handlers are set.
2025-09-09 16:45:15 | INFO | lab7 | === Lab 7: Implementing Logging Mechanism Demo ===
2025-09-09 16:45:15 | INFO | lab7.config | Loading configuration from d:\Ghanu Study\Sem - 5\Advance Python\Lab\A H\Chetan Final\config.json
2025-09-09 16:45:15 | WARNING | lab7.config | Config file not found. Using defaults: {'max_retries': 2, 'backoff_seconds': 0.2}
2025-09-09 16:45:15 | DEBUG | lab7 | Effective config -> max_retries=2 backoff_seconds=0.20
2025-09-09 16:45:15 | INFO | lab7.io | Reading numbers from d:\Ghanu Study\Sem - 5\Advance Python\Lab\A H\Chetan Final\numbers.csv
2025-09-09 16:45:15 | WARNING | lab7.io | CSV file not found. Falling back to dummy data.
2025-09-09 16:45:15 | INFO | lab7 | Input values: [1, 2, 3, 4, 5, -1, 0]
2025-09-09 16:45:15 | DEBUG | lab7.transform | Processing index=0 value=1
2025-09-09 16:45:15 | DEBUG | lab7.transform | Odd branch -> tripled: 1 -> 3
2025-09-09 16:45:15 | DEBUG | lab7.transform | Processing index=1 value=2
2025-09-09 16:45:15 | DEBUG | lab7.transform | Even branch -> doubled: 2 -> 4
2025-09-09 16:45:15 | DEBUG | lab7.transform | Processing index=2 value=3
2025-09-09 16:45:15 | DEBUG | lab7.transform | Odd branch -> tripled: 3 -> 9
2025-09-09 16:45:15 | DEBUG | lab7.transform | Processing index=3 value=4
2025-09-09 16:45:15 | DEBUG | lab7.transform | Even branch -> doubled: 4 -> 8
2025-09-09 16:45:15 | DEBUG | lab7.transform | Processing index=4 value=5
2025-09-09 16:45:15 | DEBUG | lab7.transform | Odd branch -> tripled: 5 -> 15
2025-09-09 16:45:15 | DEBUG | lab7.transform | Processing index=5 value=-1
2025-09-09 16:45:15 | WARNING | lab7.transform | Negative input encountered at index=5: -1; clamping to 0
2025-09-09 16:45:15 | DEBUG | lab7.transform | Even branch -> doubled: 0 -> 0
2025-09-09 16:45:15 | DEBUG | lab7.transform | Processing index=6 value=0
2025-09-09 16:45:15 | DEBUG | lab7.transform | Even branch -> doubled: 0 -> 0
2025-09-09 16:45:15 | INFO | lab7.transform | Transformed 7 numbers in 8.55 ms
2025-09-09 16:45:15 | INFO | lab7 | Transformed values: [3, 4, 9, 8, 15, 0, 0]
2025-09-09 16:45:15 | INFO | lab7.stats | Computing statistics for 7 values
2025-09-09 16:45:15 | DEBUG | lab7.stats | Intermediate stats -> sum=39 count=7 max=15
2025-09-09 16:45:15 | INFO | lab7.stats | Stats computed: mean=5.571 max=15.000
2025-09-09 16:45:15 | INFO | lab7 | Final stats -> mean=5.571 max=15.000
2025-09-09 16:45:15 | INFO | lab7.api | Attempt 1 | request_id=82469b95 | Sending payload: {'mean': 5.571428571428571, 'max': 15}
2025-09-09 16:45:15 | INFO | lab7.api | Attempt 1 | request_id=82469b95 | Response: {'request_id': '82469b95', 'status': 200, 'echo': {'mean': 5.571428571428571, 'max': 15}}
2025-09-09 16:45:15 | INFO | lab7 | External service success -> {'request_id': '82469b95', 'status': 200, 'echo': {'mean': 5.571428571428571, 'max': 15}}
2025-09-09 16:45:15 | INFO | lab7 | === Demo complete ===
2025-09-09 17:01:37 | DEBUG | lab7 | Logging configured. Console and file handlers are set.
2025-09-09 17:01:48 | DEBUG | lab7 | Logging configured. Console and file handlers are set.
2025-09-09 17:02:16 | DEBUG | lab7 | Logging configured. Console and file handlers are set.
2025-09-09 17:05:09 | DEBUG | lab7 | Logging configured. Console and file handlers are set.
2025-09-09 17:05:14 | DEBUG | lab7 | Logging configured. Console and file handlers are set.
2025-09-09 17:06:04 | DEBUG | lab7 | Logging configured. Console and file handlers are set.
2025-09-09 17:07:40 | DEBUG | lab7 | Logging configured. Console and file handlers are set.
2025-09-09 17:07:52 | INFO | lab7.config | Loading configuration from d:\Ghanu Study\Sem - 5\Advance Python\Lab\A H\Chetan Final\config.json
2025-09-09 17:07:52 | WARNING | lab7.config | Config file not found. Using defaults: {'max_retries': 2, 'backoff_seconds': 0.2}
2025-09-09 17:07:52 | DEBUG | lab7 | GUI effective config -> {'max_retries': 2, 'backoff_seconds': 0.2}
2025-09-09 17:07:52 | INFO | lab7.io | Reading numbers from d:\Ghanu Study\Sem - 5\Advance Python\Lab\A H\Chetan Final\numbers.csv
2025-09-09 17:07:52 | WARNING | lab7.io | CSV file not found. Falling back to dummy data.
2025-09-09 17:07:52 | DEBUG | lab7.transform | Processing index=0 value=1
2025-09-09 17:07:52 | DEBUG | lab7.transform | Odd branch -> tripled: 1 -> 3
2025-09-09 17:07:52 | DEBUG | lab7.transform | Processing index=1 value=2
2025-09-09 17:07:52 | DEBUG | lab7.transform | Even branch -> doubled: 2 -> 4
2025-09-09 17:07:52 | DEBUG | lab7.transform | Processing index=2 value=3
2025-09-09 17:07:52 | DEBUG | lab7.transform | Odd branch -> tripled: 3 -> 9
2025-09-09 17:07:52 | DEBUG | lab7.transform | Processing index=3 value=4
2025-09-09 17:07:52 | DEBUG | lab7.transform | Even branch -> doubled: 4 -> 8
2025-09-09 17:07:52 | DEBUG | lab7.transform | Processing index=4 value=5
2025-09-09 17:07:52 | DEBUG | lab7.transform | Odd branch -> tripled: 5 -> 15
2025-09-09 17:07:52 | DEBUG | lab7.transform | Processing index=5 value=-1
2025-09-09 17:07:52 | WARNING | lab7.transform | Negative input encountered at index=5: -1; clamping to 0
2025-09-09 17:07:52 | DEBUG | lab7.transform | Even branch -> doubled: 0 -> 0
2025-09-09 17:07:52 | DEBUG | lab7.transform | Processing index=6 value=0
2025-09-09 17:07:52 | DEBUG | lab7.transform | Even branch -> doubled: 0 -> 0
2025-09-09 17:07:52 | INFO | lab7.transform | Transformed 7 numbers in 81.97 ms
2025-09-09 17:07:52 | INFO | lab7.stats | Computing statistics for 7 values
2025-09-09 17:07:52 | DEBUG | lab7.stats | Intermediate stats -> sum=39 count=7 max=15
2025-09-09 17:07:52 | INFO | lab7.stats | Stats computed: mean=5.571 max=15.000
2025-09-09 17:07:52 | INFO | lab7.api | Attempt 1 | request_id=d1df1d21 | Sending payload: {'mean': 5.571428571428571, 'max': 15}
2025-09-09 17:07:52 | INFO | lab7.api | Attempt 1 | request_id=d1df1d21 | Response: {'request_id': 'd1df1d21', 'status': 200, 'echo': {'mean': 5.571428571428571, 'max': 15}}
